SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"BHARTIARTL","1,969.00","1,976.40","1,947.40","1,956.80","1,968.00","-","11.2","0.57","6529385","1,284.05","2,174.50","1,740.50","5.4","3.01"
"POLICYBZR","1,606.00","1,613.50","1,594.00","1,593.50","1,602.00","-","8.5","0.53","542071","86.87","1,974.00","1,364.00","-4.91","-11.62"
"SUPREMEIND","3,475.00","3,481.10","3,430.00","3,459.90","3,478.00","-","18.1","0.52","137594","47.57","4,664.90","3,140.00","7.58","-19.54"
"OIL","454.95","459.40","451.20","456.90","459.25","-","2.35","0.51","1629335","74.49","531.00","384.60","9.24","4.23"
"SHREECEM","26,500.00","26,590.00","25,500.00","26,455.00","26,590.00","-","135","0.51","112164","292.03","31,920.00","22,550.00","0.52","-15.43"
"NTPC","344.10","348.25","343.55","344.85","346.60","-","1.75","0.51","8519119","294.98","414.40","315.55","-2.98","3.89"
"CANBK","124.99","125.44","124.25","124.28","124.90","-","0.62","0.5","13392650","167.22","162.89","103.55","-1.03","16.53"
"BANKBARODA","243.00","244.50","242.10","241.65","242.80","-","1.15","0.48","7775343","188.96","325.50","230.81","-10.69","1.99"
"TATAELXSI","3,638.00","3,686.90","3,566.50","3,658.30","3,674.70","-","16.4","0.45","269189","98.09","6,169.50","3,353.90","2.37","-39.72"
"HINDALCO","979.80","988.00","971.05","970.40","974.50","-","4.1","0.42","5579336","546.55","1,176.00","657.50","3.7","42.66"
"PETRONET","278.80","281.30","276.95","278.90","280.05","-","1.15","0.41","1110722","31.09","326.40","235.35","0.59","-2.59"
"IEX","131.89","133.50","131.05","131.40","131.92","-","0.52","0.4","3874458","51.23","160.27","114.60","6.77","-2.26"
"CIPLA","1,473.40","1,478.80","1,462.30","1,466.40","1,472.00","-","5.6","0.38","1223370","180.19","1,673.00","1,165.70","1.13","-5.24"
"MARUTI","14,250.00","14,348.00","14,124.00","14,188.00","14,240.00","-","52","0.37","535417","762.03","17,370.00","12,201.00","-1.12","12.9"
"PAYTM","1,322.20","1,360.00","1,322.20","1,332.50","1,337.40","-","4.9","0.37","2303054","309.81","1,407.00","930.60","11.57","23.28"
"BANKINDIA","138.00","138.68","136.87","137.22","137.72","-","0.5","0.36","5768166","79.49","178.36","108.81","-2.61","23.86"
"PERSISTENT","5,458.70","5,580.00","5,263.40","5,514.70","5,534.00","-","19.3","0.35","1471276","804.91","6,599.00","4,244.50","28.15","7.53"
"SBICARD","661.00","665.50","656.55","657.80","660.00","-","2.2","0.33","903831","59.70","965.00","565.45","10.74","-18.24"
"DLF","658.00","661.95","656.25","654.85","657.00","-","2.15","0.33","1436219","94.68","802.65","489.40","1.63","-15.93"
"AMBER","7,400.00","7,534.50","7,395.00","7,401.00","7,425.50","-","24.5","0.33","161195","120.38","8,974.00","5,400.50","-0.14","-6.57"
"DALBHARAT","1,816.50","1,816.50","1,788.10","1,794.20","1,800.00","-","5.8","0.32","103602","18.68","2,496.30","1,605.00","5.31","-19.49"
"ULTRACEMCO","11,850.00","12,009.00","11,799.00","11,847.00","11,884.00","-","37","0.31","390471","465.44","13,110.00","10,325.00","3.9","-2.82"
"LICI","423.10","425.65","420.30","422.85","424.15","-","1.3","0.31","1299272","54.99","468.48","360.75","-2.3","-52.55"
"ONGC","241.58","242.96","238.17","241.59","242.30","-","0.71","0.29","10070729","242.87","307.50","227.65","3.21","0.63"
"PHOENIXLTD","1,889.10","1,917.40","1,881.10","1,887.90","1,893.00","-","5.1","0.27","735057","139.63","2,169.80","1,402.50","-6.2","27.58"
"HINDPETRO","390.80","391.90","385.60","388.45","389.45","-","1","0.26","7761816","302.18","508.45","316.20","-0.6","-6.86"
"CAMS","793.15","807.60","787.10","793.15","795.10","-","1.95","0.25","928480","74.18","844.90","611.40","0.5","-78.69"
"AUROPHARMA","1,582.90","1,588.50","1,566.10","1,576.30","1,580.00","-","3.7","0.23","440498","69.54","1,636.80","1,016.10","1.78","38.64"
"SBIN","1,028.10","1,034.30","1,023.50","1,025.30","1,027.60","-","2.3","0.22","10921417","1,122.34","1,234.70","786.55","-1.91","28.98"
"UNIONBANK","171.06","172.80","169.82","170.40","170.76","-","0.36","0.21","5557534","95.18","205.49","124.64","-2.08","30.76"
"IRFC","89.50","89.88","88.43","88.92","89.10","-","0.18","0.2","12049926","107.43","137.17","86.02","-2.23","-30.54"
"BIOCON","425.95","428.25","422.90","425.35","426.00","-","0.65","0.15","2304756","98.10","447.15","331.00","1.79","8.76"
"IDFCFIRSTB","84.76","85.74","84.51","84.76","84.84","-","0.08","0.09","13981195","119.02","88.76","58.08","7.28","23.15"
"TRENT","3,008.00","3,026.70","2,990.90","2,999.20","3,001.00","-","1.8","0.06","605222","181.97","3,782.67","2,183.67","-8.64","-40.1"
"DRREDDY","1,152.00","1,154.30","1,141.70","1,144.80","1,145.50","-","0.7","0.06","1085841","124.75","1,414.90","1,101.00","-14.31","-9.62"
